epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.604,2.74563,5.43474,2.71796,0.65558,0.68711,0.73209,0.47591,2.22721,2.19411,2.64733,0.00332668,0.00332668,0.00332668
2,210.738,2.46699,2.4302,2.49823,0.81038,0.79569,0.87359,0.57605,2.16449,1.57052,2.59539,0.00659408,0.00659408,0.00659408
3,315.764,2.50458,2.17537,2.54588,0.82558,0.80181,0.87605,0.57296,2.27766,1.56008,2.71206,0.00979548,0.00979548,0.00979548
4,420.83,2.48395,2.04302,2.57964,0.8348,0.84372,0.90455,0.61147,2.07688,1.30894,2.58406,0.009703,0.009703,0.009703
5,525.606,2.40982,1.84978,2.55991,0.8734,0.88817,0.93604,0.65068,1.98252,1.0898,2.53184,0.009604,0.009604,0.009604
6,630.341,2.31046,1.69277,2.51197,0.89252,0.89206,0.94502,0.67394,1.85486,1.01039,2.45205,0.009505,0.009505,0.009505
7,735.271,2.24642,1.61396,2.48761,0.89911,0.9039,0.95059,0.67817,1.90706,0.97182,2.49541,0.009406,0.009406,0.009406
8,840.118,2.18215,1.53526,2.46722,0.9086,0.91253,0.95562,0.69355,1.76718,0.90294,2.39168,0.009307,0.009307,0.009307
9,945.046,2.13835,1.4708,2.45209,0.91742,0.92216,0.9606,0.70556,1.7061,0.86768,2.34763,0.009208,0.009208,0.009208
10,1050.07,2.09137,1.44125,2.40838,0.92903,0.92936,0.96514,0.72381,1.65369,0.8086,2.29776,0.009109,0.009109,0.009109
11,1155.64,2.05639,1.37974,2.39621,0.93087,0.92378,0.96558,0.71988,1.63449,0.8085,2.28726,0.00901,0.00901,0.00901
12,1261.23,2.04269,1.36225,2.37793,0.93173,0.93111,0.96802,0.71659,1.66694,0.79142,2.32245,0.008911,0.008911,0.008911
13,1366.44,1.98143,1.32709,2.35123,0.92958,0.93551,0.96898,0.73546,1.61674,0.77547,2.28078,0.008812,0.008812,0.008812
14,1471.72,1.96857,1.30019,2.34102,0.94343,0.93981,0.97325,0.74762,1.55838,0.71939,2.24586,0.008713,0.008713,0.008713
15,1576.99,1.93152,1.26258,2.31583,0.93674,0.94603,0.97311,0.75424,1.52456,0.73664,2.21796,0.008614,0.008614,0.008614
16,1682.07,1.91258,1.26171,2.30681,0.94364,0.94346,0.97491,0.76253,1.4855,0.71469,2.17544,0.008515,0.008515,0.008515
17,1787.16,1.89924,1.24135,2.30279,0.94321,0.95024,0.9774,0.77104,1.43843,0.66742,2.15373,0.008416,0.008416,0.008416
18,1892.31,1.88139,1.22925,2.28904,0.94,0.94992,0.97504,0.75786,1.51436,0.68887,2.21854,0.008317,0.008317,0.008317
19,1997.25,1.86266,1.2139,2.27426,0.9469,0.94207,0.97673,0.76785,1.46414,0.68246,2.1536,0.008218,0.008218,0.008218
20,2102.24,1.82938,1.19646,2.26003,0.94395,0.95579,0.97884,0.77233,1.43083,0.64371,2.12757,0.008119,0.008119,0.008119
21,2207.25,1.82787,1.17727,2.25582,0.95249,0.95579,0.97983,0.78069,1.3923,0.62475,2.1082,0.00802,0.00802,0.00802
22,2312.64,1.80903,1.16332,2.24142,0.9459,0.95532,0.98004,0.77701,1.41442,0.62714,2.1363,0.007921,0.007921,0.007921
23,2417.9,1.77992,1.15298,2.23979,0.948,0.95107,0.97913,0.78486,1.36541,0.6237,2.09696,0.007822,0.007822,0.007822
24,2522.88,1.78252,1.14352,2.23515,0.95306,0.9559,0.98091,0.79027,1.34812,0.60239,2.08515,0.007723,0.007723,0.007723
25,2627.62,1.76675,1.13504,2.21492,0.95925,0.95642,0.98341,0.79788,1.34003,0.58828,2.07548,0.007624,0.007624,0.007624
26,2732.57,1.73261,1.11715,2.19802,0.95251,0.96328,0.98294,0.79537,1.35061,0.58703,2.09229,0.007525,0.007525,0.007525
